CMPLNT_NUM,CMPLNT_FR_DT,CMPLNT_FR_TM,CMPLNT_TO_DT,CMPLNT_TO_TM,ADDR_PCT_CD,RPT_DT,KY_CD,OFNS_DESC,PD_CD,PD_DESC,CRM_ATPT_CPTD_CD,LAW_CAT_CD,BORO_NM,LOC_OF_OCCUR_DESC,PREM_TYP_DESC,JURIS_DESC,JURISDICTION_CODE,PARKS_NM,HADEVELOPT,HOUSING_PSA,X_COORD_CD,Y_COORD_CD,SUSP_AGE_GROUP,SUSP_RACE,SUSP_SEX,TRANSIT_DISTRICT,Latitude,Longitude,Lat_Lon,PATROL_BORO,STATION_NAME,VIC_AGE_GROUP,VIC_RACE,VIC_SEX
667135015,06/05/2017,16:05:00,06/05/2017,16:10:00,73,06/05/2017,578,HARRASSMENT 2,637,"HARASSMENT,SUBD 1,CIVILIAN",COMPLETED,VIOLATION,BROOKLYN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,,,NA,1009574,180396,UNKNOWN,UNKNOWN,M,,40.66179406,-73.908723928,"(40.66179406, -73.908723928)",PATROL BORO BKLYN NORTH,,25-44,BLACK,M
799933793,12/28/2012,13:00:00,12/28/2012,13:00:00,67,12/28/2012,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,BROOKLYN,INSIDE,RESIDENCE-HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1004403,174811,,,,,40.646477735,-73.927378895,"(40.646477735, -73.927378895)",PATROL BORO BKLYN SOUTH,,25-44,BLACK,M
700886699,03/28/2009,01:50:00,03/28/2009,02:00:00,32,03/28/2009,106,FELONY ASSAULT,109,"ASSAULT 2,1,UNCLASSIFIED",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1000068,237698,,,,,40.819095837,-73.942852488,"(40.819095837, -73.942852488)",PATROL BORO MAN NORTH,,25-44,BLACK,M
352631944,09/15/2014,18:00:00,09/15/2014,18:10:00,103,09/15/2014,341,PETIT LARCENY,338,"LARCENY,PETIT FROM BUILDING,UN",COMPLETED,MISDEMEANOR,QUEENS,INSIDE,PUBLIC BUILDING,N.Y. POLICE DEPT,0,,,NA,1041044,197150,,UNKNOWN,F,,40.707633917,-73.795152927,"(40.707633917, -73.795152927)",PATROL BORO QUEENS SOUTH,,<18,BLACK,M
975255756,09/29/2017,21:15:00,,,40,09/30/2017,361,OFF. AGNST PUB ORD SENSBLTY &,643,"ASSEMBLY,UNLAWFUL",COMPLETED,MISDEMEANOR,BRONX,OPPOSITE OF,RESIDENCE - PUBLIC HOUSING,N.Y. HOUSING POLICE,2,,,845,1006000,235990,<18,WHITE HISPANIC,M,,40.814395243,-73.921426267,"(40.814395243, -73.921426267)",PATROL BORO BRONX,,UNKNOWN,UNKNOWN,E
881071250,11/30/2012,03:30:00,11/30/2012,04:25:00,44,11/30/2012,341,PETIT LARCENY,347,PETIT LARCENY-CHECK FROM MAILB,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,STREET,N.Y. POLICE DEPT,0,NA,,NA,1003642,242391,,BLACK,F,,40.831969662,-73.9299264,"(40.831969662, -73.9299264)",PATROL BORO BRONX,,,UNKNOWN,D
394076375,08/23/2017,06:00:00,08/23/2017,14:00:00,113,08/23/2017,351,CRIMINAL MISCHIEF & RELATED OF,254,"MISCHIEF, CRIMINAL 4, OF MOTOR",COMPLETED,MISDEMEANOR,QUEENS,,STREET,N.Y. POLICE DEPT,0,,,NA,1049202,195122,,,,,40.702011429,-73.765747782,"(40.702011429, -73.765747782)",PATROL BORO QUEENS SOUTH,,25-44,BLACK HISPANIC,M
682286017,01/31/2011,17:04:00,01/31/2011,17:04:00,13,01/31/2011,117,DANGEROUS DRUGS,503,"CONTROLLED SUBSTANCE,INTENT TO",COMPLETED,FELONY,MANHATTAN,INSIDE,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,990112,209137,,,,,40.740715654,-73.978847503,"(40.740715654, -73.978847503)",PATROL BORO MAN SOUTH,,,UNKNOWN,E
798013325,10/11/2009,00:30:00,10/11/2009,00:50:00,77,10/11/2009,359,OFFENSES AGAINST PUBLIC ADMINI,750,RESISTING ARREST,COMPLETED,MISDEMEANOR,BROOKLYN,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,996547,184480,,,,,40.673031404,-73.955670826,"(40.673031404, -73.955670826)",PATROL BORO BKLYN NORTH,,,UNKNOWN,E
442949313,01/29/2012,15:25:00,01/29/2012,15:35:00,47,01/29/2012,344,ASSAULT 3 & RELATED OFFENSES,101,ASSAULT 3,COMPLETED,MISDEMEANOR,BRONX,FRONT OF,RESIDENCE - APT. HOUSE,N.Y. POLICE DEPT,0,NA,,NA,1021707,259544,,,,,40.878991341,-73.864550837,"(40.878991341, -73.864550837)",PATROL BORO BRONX,,25-44,WHITE HISPANIC,F
